000000,ReadBCBL
000000,ReadBCBL
000000,ReadPRO
000000,RAN
,ReadSINT
,ReadSEM
,ReadSINT
,ReadSEM
,ReadBCBL
,ReadSINT
000000,ReadBCBL
000000,lettersN
000000,lettersN
000000,lettersN
000000,lettersN
000000,STMorder
000000,lettersN
000000,RAN
,isolationS
,isolationS
,isolationS
,isolationS
,isolationP
,blendingP
,isolationS
,isolationP
,blendingS
,isolationS
,isolationP
,blendingS
,ReadBCBL
,ReadPRO
,RAN
,blendingS
,ReadSS
,ReadSS
,ReadSS
,isolationS
,isolationS
,isolationS
,isolationS
,isolationS
,isolationS
,blendingP
,blendingP
,isolationP
,segmentF
,isolationS
,segmentS
,lettersS
,blendingS
,isolationS
,isolationP
,isolationS
,isolationP
,blendingS
,blendingP
,segmentS
,segmentF
,isolationS
,isolationP
,blendingS
,blendingP
,lettersN
,lettersS
,ReadPRO
,isolationS
,isolationP
,blendingS
,blendingP
,segmentS
,segmentF
,lettersN
,lettersS
,isolationS
,isolationP
,ReadPRO
,vocabulary
,ReadPRO
,RAN
,RAN
,RAN
,ReadSS
,RAN
,rhymeW
,rhymePW
,rhymeW
,rhymeW
,rhymePW
,lettersN
,lettersS
,lettersN
,lettersS
,lettersN
,vocabularyPPVT
,ReadSS
,ReadSS
,ReadSS
,ReadPRO
,isolationS
,isolationP
,STMorder
,isolationS
,isolationS
